id	name	formula	rt	smiles.std	status
0329_00843	α-Ketoglutaric acid	C5H6O5	0.7		'PUGREST.BadRequest: error: '
0329_00844	2-Oxoadipic acid	C6H8O5	0.722		'PUGREST.BadRequest: error: '
0329_00845	3-Hydroxy-3-methylglutaric acid	C6H10O5	0.838		'PUGREST.BadRequest: error: '
0329_00846	3-Hydroxymandelic acid	C8H8O4	1.33		'PUGREST.BadRequest: error: '
0329_00847	Tricarballylic acid	C6H8O6	0.793		'PUGREST.BadRequest: error: '
0329_00848	β-(m-Hydroxyphenyl)hydracrylic Acid	C9H10O4	2.169		'PUGREST.BadRequest: error: '
0329_00849	Indole-3-propionic acid	C11H11NO2	3.762		'PUGREST.BadRequest: error: '
0329_00850	DL-Vanillactic acid lithium salt hydrate	C10H12O5	2.453		'PUGREST.BadRequest: error: '
0329_00853	3-Methylglutaric acid	C6H10O4	1.655		'PUGREST.BadRequest: error: '
0329_00854	3-Hydroxyglutaric acid	C5H8O5	0.696		'PUGREST.BadRequest: error: '
0329_00856	3-Methylcrotonyl Glycine	C7H11NO3	2.245		'PUGREST.BadRequest: error: '
0329_00857	3-Methyladipic acid	C7H12O4	2.475		'PUGREST.BadRequest: error: '
0329_00858	3-Propylmalic acid	C7H12O5	2.174		'PUGREST.BadRequest: error: '
0329_00859	3-Hydroxysuberic Acid	C8H14O5	1.867		'PUGREST.BadRequest: error: '
0329_00860	DL-4-Hydroxy-3-methoxymandelic acid	C9H10O5	1.33		'PUGREST.BadRequest: error: '
0329_00861	3-Hydroxy Sebacic Acid	C10H18O5	2.851		'PUGREST.BadRequest: error: '
0329_00865	α-Keto Isovaleric Acid Sodium Salt	C5H8O3	0.98		'PUGREST.BadRequest: error: '
0329_00869	(2S,5R)-trans-5-Hydroxypiperidine-2-carboxylicacid	C6H11NO3	0.583		'PUGREST.BadRequest: error: '
0329_00870	4-Hydroxyphenylacetic acid	C8H8O3	2.524		'PUGREST.BadRequest: error: '
0329_00871	Allantoin	C4H6N4O3	0.605		'PUGREST.BadRequest: error: '
0329_00872	4-Pyridoxolactone	C8H7NO3	1.282		'PUGREST.BadRequest: error: '
0329_00874	Xanthurenic acid	C10H7NO4	2.361		'PUGREST.BadRequest: error: '
0329_00878	Glutaric acid	C5H8O4	1.024		'PUGREST.BadRequest: error: '
0329_00879	Adipic acid	C6H10O4	1.703		'PUGREST.BadRequest: error: '
0329_00880	2,5-Furandicarboxylic acid	C6H4O5	1.094		'PUGREST.BadRequest: error: '
0329_00883	Hippuric acid	C9H9NO3	2.687		'PUGREST.BadRequest: error: '
0329_00884	Citric acid	C6H8O7	0.674		'PUGREST.BadRequest: error: '
0329_00888	Indole-3-carboxaldehyde	C9H7NO	3.462		'PUGREST.BadRequest: error: '
0329_00889	Indole-3-carboxylic acid	C9H7NO2	3.298		'PUGREST.BadRequest: error: '
0329_00890	3,4-Dihydroxyphenylacetic acid	C8H8O4	1.936		'PUGREST.BadRequest: error: '
0329_00892	3-Indoleacetic acid	C10H9NO2	3.462		'PUGREST.BadRequest: error: '
0329_00894	Kynurenic acid	C10H7NO3	2.593		'PUGREST.BadRequest: error: '
0329_00895	DL-Isocitric acid trisodium salt hydrate	C6H8O7	0.631		'PUGREST.BadRequest: error: '
0329_00897	DL-Indole-3-lactic acid	C11H11NO3	3.179		'PUGREST.BadRequest: error: '
0329_00899	Methylmalonic acid	C4H6O4	0.861		'PUGREST.BadRequest: error: '
0329_00904	(RS)-Mevalonic acid lithium salt	C6H12O4	0.794		'PUGREST.BadRequest: error: '
0329_00905	Orotic acid	C5H4N2O4	0.605		'PUGREST.BadRequest: error: '
0329_00906	Phenylpyruvic acid	C9H8O3	2.754		'PUGREST.BadRequest: error: '
0329_00912	Succinic acid	C4H6O4	0.846		'PUGREST.BadRequest: error: '
0329_00918	4,6-Dioxoheptanoic acid	C7H10O4	1.661		'PUGREST.BadRequest: error: '
0329_00919	3-Hydroxyhexanedioic Acid	C6H10O5	0.797		'PUGREST.BadRequest: error: '
0329_00922	DL-p-Hydroxyphenyllactic Acid	C9H10O4	1.99		'PUGREST.BadRequest: error: '
0329_00923	Acephate	C4H10NO3PS	1.442		'PUGREST.BadRequest: error: '
0329_00928	Cyproconazole	C15H18ClN3O	4.561		'PUGREST.BadRequest: error: '
0329_00929	Diflufenican	C19H11F5N2O2	5.356		'PUGREST.BadRequest: error: '
0329_00935	Fluopicolide	C14H8Cl3F3N2O	4.912		'PUGREST.BadRequest: error: '
0329_00940	Lenacil	C13H18N2O2	3.976		'PUGREST.BadRequest: error: '
0329_00953	Bupirimate	C13H24N4O3S	3.388		'PUGREST.BadRequest: error: '
0329_00959	Diniconazole	C15H17Cl2N3O	4.861		'PUGREST.BadRequest: error: '
0329_00963	Fenarimol	C17H12Cl2N2O	4.794		'PUGREST.BadRequest: error: '
0329_00964	Fenbucanozole	C19H17ClN4	5.024		'PUGREST.BadRequest: error: '
0329_00965	Fludioxonil	C12H6F2N2O2	4.631		'PUGREST.BadRequest: error: '
0329_00968	Hexaconazole	C14H17Cl2N3O	4.768		'PUGREST.BadRequest: error: '
