hplccolumns_number	normalized notation	USP Code	Phase type	H	S*	A	B	C (pH 2.8)	C (pH 7.0)	EB retention factor	pore size	particle size	Name	Manufacturer	comment
565	Welch Materials, Ultisil XB-C18	L1	C18	1.01	0.0120	-0.0160	0.00500	0.118	0.142	9.44					
564	Welch Materials, Ultisil XB-C8	L7	C8	0.841	0.00100	-0.108	0.0270	0.0630	0.244	5.87					
736	Welch Materials, Ultisil XB-CN	L10	CN	0.394	-0.0740	-0.300	0.00700	0.0920	0.920	1.1					heißen in China Ultimate, sonst Ultisil
733	Welch Materials, Ultisil XS-C18	L1	C18	0.982	-0.00900	0.450	-0.0160	0.220	1.20	9.5					heißen in China Ultimate, sonst Ultisil
563	Welch Materials, UltisilXB-Phenyl	L11	Phenyl	0.651	-0.108	-0.273	0.0320	0.144	0.466	3.53					
568	Welch Materials, Xtimate C18	L1	C18	1.00	-0.00100	-0.0830	-0.0110	0.155	0.283	8.99					
740	Wesley Technologies Inc., Flowrosil C18	L1	C18	1.01	0.00400	-0.121	0	0.162	0.142	9.5					
742	Wesley Technologies Inc., Flowrosil C8	L7	C8	0.857	0.00100	-0.173	0.0240	0.110	0.166	6.4					
682	Wesley Technologies Inc., PrimeSIL C18	L1	C18	1.04	-0.00200	-0.0430	-0.0130	0.0150	0.150	12.4		5µm			
683	Wesley Technologies Inc., PrimeSIL C18	L1	C18	1.02	0.0250	-0.0600	-0.00100	0.0140	0.120	9		3µm			
685	Wesley Technologies Inc., PrimeSIL ODS 2	L1	C18	1.00	-0.00400	-0.0570	-0.00600	0.109	0.180	10.3					
684	Wesley Technologies Inc., PrimeSIL ODS P	L60	EP	0.752	0.0900	-0.670	0.0420	-0.240	-0.0150	8.7					
306	YMC, Hydrosphere C18	L1	C18	0.930	-0.0200	-0.120	0	-0.130	0.150	6.8					
294	YMC, J'Spherer ODS-H80	L1	C18	1.13	0.0500	-0.0200	-0.0600	-0.240	-0.160	13.3					
295	YMC, J'Spherer ODS-L80	L1	C18	0.760	-0.0300	-0.210	0	-0.400	0.340	5.8					
296	YMC, J'Spherer ODS-M80	L1	C18	0.920	-0.0200	-0.120	0	-0.290	0.130	9.1					
749	YMC, Triart Bio C4	L26	C4	0.673	-0.0150	-0.350	0.0200	0.130	0.0640	1.2					
305	YMC, YMCbasic	L7	C8	0.820	0	-0.230	0.0200	0.0700	0.0900	3.3					
307	YMC, YMC-Pack ODS-AQ	L1	C18	0.960	-0.0300	-0.130	0	-0.0600	0.100	8.6					
309	YMC, YMC-Pack Pro C18	L1	C18	1.01	0.0100	-0.120	0	-0.150	0	8.7					
308	YMC, YMC-Pack Pro C18 RS	L1	C18	1.11	0.0500	-0.0600	-0.0500	-0.170	-0.220	12.7					
310	YMC, YMC-Pack Pro C8	L7	C8	0.890	0.0100	-0.210	0	-0.320	0.0100	6.5					
761	YMC, YMC-Triart Bio C18	L1	C18	0.954	-0.00810	-0.139	0.0110	0.261	0.210	3					
522	YMC, YMC-Triart C18	L1	C18	0.920	-0.0200	-0.190	-0.0300	-0.0200	-0.130	9.4					
700	YMC, YMC-Triart C18 ExRS	L1	C18	1.17	0.0630	-0.00400	-0.0960	-0.139	-0.254	18.4					
699	YMC, YMC-Triart C8	L7	C8	0.830	-0.00700	-0.317	-0.00700	-0.0230	-0.102	7.2					
